Title,Autor,Date,Place,Country,Category,File_Name,MEAN,R_mean,G_mean,B_mean,STD,R_std,G_std,B_std,ASYMMETRY,R_asy,G_asy,B_asy
 Submarino Peral en los caños del arsenal de La Carraca,Benito Lleonart,1889,Madrid, España,BLUE,img1190.jpg,159.80433266305332,133.3222549990303,169.1290510263451,176.9616919637845,65.91314151559331,43.103157163866044,57.48071996517643,82.39590742278091,4.7648138999938965,2.0749728679656982,3.1016957759857178,4.7648138999938965
" Jeune Servante (Waiting Maid, also known as La Soubrette)",Chaim Soutine,1933,London, Reino Unido,BLUE,img1191.jpg,91.34807609209714,88.25387622615317,90.93031469138195,94.86003735875636,69.3367116692563,77.75335747807303,68.05769435732199,61.0182097871793,2.365425109863281,2.2412209510803223,2.274416923522949,2.365425109863281
 Veules-les-Roses,Samuel John Peploe,1910,Edinburgh, Reino Unido,BLUE,img1192.jpg,137.95136897045663,130.79986526350172,140.45460298665904,142.59963866120916,64.48677786105614,78.75811684947998,62.247576949211165,48.156153854422996,-0.1525219827890396,9.22778034210205,0.2968993186950684,-0.1525219827890396
 Vue du Port de Pont-Aven,Maxime Maufra,1894,Quimper, Francia,BLUE,img1193.jpg,120.36541491015863,113.82138227398464,121.65117537180129,125.62368708469006,51.36464848760729,48.28379798056896,44.93520569019567,59.09616328957658,1.7263286113739014,1.7772551774978638,1.83064603805542,1.7263286113739014
 Montagne Sainte-Victoire,Paul Cézanne,1890,Edinburgh, Reino Unido,BLUE,img1194.jpg,183.19220025382182,171.7496759178924,187.57257908113792,190.25434576243512,38.89196497289853,38.98087178891543,33.38654939485803,41.274590142197404,1.4301940202713013,0.35093215107917786,0.6498462557792664,1.4301940202713013
 The Twins,Joseph T. Pearson,1917,Doylestown, Estados Unidos,BLUE,img1195.jpg,105.5048093444525,73.76581367575457,106.67101838336616,136.07759597423674,53.79082455527774,68.15503937634465,27.912713369427284,36.231343986729634,3.350170612335205,5.871419429779053,3.883787870407105,3.350170612335205
 The Good Shepherd,Henry Ossawa Tanner,1903,New Brunswick, NJ,BLUE,img1196.jpg,75.81824862966856,55.16356194306362,80.70128305892679,91.58990088701529,45.18730283376136,35.63661355255332,41.01445872597256,49.74251541494289,1.0340859889984129,0.9494411945343018,1.0351172685623171,1.0340859889984129
 Ploughing,Fortunato Depero,1926,Torino, Italia,BLUE,img1197.jpg,88.86283756426353,86.95694556441325,89.69738386632505,89.93418326205229,53.37636493020377,59.983530999981156,48.64306795940897,50.76869384086941,0.8556960225105286,1.843478798866272,0.6776756644248962,0.8556960225105286
 Cala Encantada (Majorca),Joaquim Mir,1901,Barcelona, España,BLUE,img1198.jpg,101.98897270224936,81.73077197889128,104.79998775122743,119.43615837662935,44.837929240110206,47.331556480087826,38.988608124086646,39.34756794558356,0.5247814655303955,0.8384929895401001,0.8292024731636047,0.5247814655303955
 Church Steeple,Georgia O'Keeffe,1930,Santa Fe, Estados Unidos,BLUE,img1199.jpg,91.98715920342148,48.88395308720104,99.33963804877052,127.73788647429285,76.83760136414685,80.63413969468931,62.143552651180535,64.48492464684279,7.090545654296875,9.491339683532717,5.801912784576416,7.090545654296875
